price.EUR,price.USD,price.GBP,price.INR,price.CAD,price.AUD
70.0,,,,,
190.0,,,,,
110.0,,,,,
150.0,,,,,
290.0,,,,,
,,,,,
170.0,,,,,
230.0,,,,,
190.0,,,,,
,92.5,,,,
130.0,,,,,
,123.49,,11999.0,,
110.0,,,,,
130.0,,,,,
,420.0,,,,
130.0,,,,,
260.0,,,,,
,134.81,,,,
170.0,,,,,
,,,,,
,,,,,
,,,,,
300.0,,,,,
260.0,,,,,
220.0,,,,,
640.0,,,,,
170.0,,,,,
180.0,,,,,
400.0,,,,,
100.0,,,,,
330.0,,,,,
440.0,,,,,
200.0,,,,,
400.0,,,,,
280.0,,,,,
,,,,,
,,,,,
80.0,,,,,
,,,,,
140.0,,,,,
130.0,,,,,
240.0,,,,,
,,,,,
,,,,,
500.0,,,,,
369.99,220.79,299.99,,,
200.0,,,,,
300.0,,,,,
60.0,,,,,
699.99,439.99,619.99,,,
370.0,,,,,
600.0,,,,,
559.99,349.99,419.99,,,
200.0,,,,,
460.0,,,,,
59.99,371.99,,63500.0,,
,,,,,
599.99,329.99,469.99,59500.0,,
,,,,,
280.0,,,,,
249.99,146.99,219.99,,279.99,
110.0,,,,,
70.0,,,,,
387.24,269.99,399.99,56850.0,,
150.0,,,,,
90.0,,,,,
230.0,,,,,
130.0,,,,,
140.0,,,,,
110.0,,,,,
250.0,,,,,
120.0,,,,,
40.0,,,,,
,,,,,
90.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
150.0,,,,,
60.0,,,,,
170.0,,,,,
,,,,,
90.0,,,,,
120.0,,,,,
150.0,,,,,
130.0,,,,,
170.0,,,,,
,,,,,
90.0,,,,,
,,,,,
80.0,,,,,
,,,,,
180.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
110.0,,,,,
230.0,,,,,
100.0,,,,,
90.0,,,,,
70.0,,,,,
110.0,,,,,
130.0,,,,,
80.0,,,,,
130.0,,,,,
150.0,,,,,
130.0,,,,,
90.0,,,,,
160.0,,,,,
,,,,,
210.0,,,,,
100.0,,,,,
140.0,,,,,
280.0,,,,,
90.0,,,,,
80.0,,,,,
470.0,,,,,
70.0,,,,,
200.0,,,,,
100.0,,,,,
390.0,,,,,
170.0,,,,,
150.0,,,,,
60.0,,,,,
80.0,,,,,
270.0,,,,,
120.0,,,,,
90.0,,,,,
70.0,,,,,
160.0,,,,,
130.0,,,,,
100.0,,,,,
100.0,,,,,
60.0,,,,,
150.0,,,,,
150.0,,,,,
,,,,,
120.0,,,,,
,,,,,
200.0,,,,,
180.0,,,,,
,,,,,
,,,,,
180.0,,,,,
150.0,,,,,
120.0,,,,,
,,,,,
200.0,,,,,
500.0,,,,,
120.0,,,,,
220.0,,,,,
240.0,,,,,
190.0,,,,,
130.0,,,,,
,,,5019.0,,
250.0,,,,,
80.0,,,,,
90.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
110.0,,,,,
,,,,,
,,,,,
,,,7399.0,,
280.0,,,,,
260.0,,,,,
,,,,,
,,,11614.0,,
180.0,,,,,
,,,21799.0,,
,,,,,
,,,9290.0,,
,,,,,
100.0,,,,,
100.0,,,,,
180.0,,,,,
100.0,,,,,
270.0,,,,,
240.0,,,,,
,,,8199.0,,
,,,6585.0,,
290.0,,,,,
150.0,,,,,
250.0,,,,,
220.0,,,,,
140.0,,,,,
